id,Label,new_id
4.02E+14,Josh Marks,386
3.69E+11,Blue Ribbon Restaurants,473
7.66E+14,Pat Neely,1
1.37E+14,La Griglia,542
8.40E+14,Jose Garces,189
1.19E+15,Zac Kara,454
2.15E+14,Big Fish Seafood Bistro,158
4.34E+14,Tom Aikens,248
1.47E+14,The Habit Burger Grill,537
2.84E+14,Chef Sheldon Simeon,293
1.69E+11,Ochikeron,171
1.78E+14,Taco Bell Cyprus,485
2.15E+14,Christophe Michalak,258
1.33E+14,Peohe's,534
2.74E+14,Destino Ibiza,500
2.07E+14,KFC,194
6.79E+14,Chef Shirley Chung,34
1.48E+15,Doug Adams,465
1.26E+14,משה שגב / Moshe Segev,562
3.43E+14,Angel Leon Gonzalez,511
1.95E+14,Ben Ebbrell - Sorted Chef,201
29803936348,Dick's Drive In Restaurant,188
4.57E+14,John Whaite,440
58711572016,Andy Luotto,484
2.78E+14,Antonino Cannavacciuolo,240
2.35E+14,Charley's Crab,533
39971549934,Anne-Sophie Pic,235
2.62E+11,Hilah Cooking,82
1.05E+14,Taco Bell Costa Rica,212
2.59E+11,Chef Robert Irvine,35
1.46E+15,Nutella Cafe Chicago,19
1.98E+14,Grand Concourse,154
2.13E+14,Domino's Pizza,334
3.57E+11,Chef Lorena Garcia,148
2.52E+14,James Martin,599
72558494982,Domino's Pizza,382
1.93E+14,Nando's,230
4.17E+14,Roy Yamaguchi,7
2.18E+14,Susan Feniger,576
50245567013,McDonald's,164
1.51E+14,Al Brown New Zealand Chef,594
8838497581,Veggie Grill,396
1.07E+14,Domino's Pizza,284
2.07E+14,McDonald's,63
1.61E+14,Franklin Becker,160
1.46E+14,McDonald's,573
1.33E+14,Éric Frechon,61
4.26E+14,KFC,25
3.89E+14,The Edgy Veg,409
1.18E+14,Domino's Pizza,329
71011774235,Zoёs Kitchen,211
1.23E+14,Chef Mark Garcia,434
1.94E+14,Dunkin' Donuts,218
2.31E+14,McDonald's,480
1.43E+15,Chef Claudia's Cocina,309
1.30E+14,McDonald's,313
1.54E+11,Alex Guarnaschelli,56
1.67E+14,Hari Ghotra,138
1.15E+11,Nando's,591
2.51E+14,Vicky Ratnani,202
17048584270,Boston Market,14
1.18E+14,Bobby's Burger Palace,246
5.86E+14,Chef Guy Martin,462
